,movie_title,year,place,star_cast,rating,vote,link
136,Pan's Labyrinth,2006,137,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.17226021297503,,/title/tt0457430/
137,Judgment at Nuremberg,1961,138,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.17202068119093,,/title/tt0055031/
138,Ran,1985,139,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.166981516614127,,/title/tt0089881/
139,A Beautiful Mind,2001,140,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.163367403810412,,/title/tt0268978/
140,The Sixth Sense,1999,141,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.16144293398532,,/title/tt0167404/
141,Monty Python and the Holy Grail,1975,142,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.161128766134464,,/title/tt0071853/
142,There Will Be Blood,2007,143,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.159327666061925,,/title/tt0469494/
143,The Truman Show,1998,144,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.156802523840266,,/title/tt0120382/
144,Yojimbo,1961,145,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.15463493705411,,/title/tt0055630/
145,The Treasure of the Sierra Madre,1948,146,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.152972889884914,,/title/tt0040897/
146,Shutter Island,2010,147,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.150892007273372,,/title/tt1130884/
147,The Great Escape,1963,148,"John Sturges (dir.), Steve McQueen, James Garner",8.150156421852692,,/title/tt0057115/
148,Rashomon,1950,149,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.148672252017647,,/title/tt0042876/
149,Jurassic Park,1993,150,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.145362710215217,,/title/tt0107290/
150,Kill Bill: Vol 1,2003,151,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.144625273137912,,/title/tt0266697/
151,Finding Nemo,2003,152,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.14170118657239,,/title/tt0266543/
152,No Country for Old Men,2007,153,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.141452989465556,,/title/tt0477348/
153,Raging Bull,1980,154,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.139914633931468,,/title/tt0081398/
154,The Elephant Man,1980,155,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.138648231489572,,/title/tt0080678/
155,V for Vendetta,2005,156,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.138548493715078,,/title/tt0434409/
156,Gone with the Wind,1939,157,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.137548490374401,,/title/tt0031381/
157,Chinatown,1974,158,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.135730587403732,,/title/tt0071315/
158,Inside Out,2015,159,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.134634443143266,,/title/tt2096673/
159,"Lock, Stock and Two Smoking Barrels",1998,160,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.132460045567843,,/title/tt0120735/
160,The Thing,1982,161,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.13080670348217,,/title/tt0084787/
161,Dial M for Murder,1954,162,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.124852541762788,,/title/tt0046912/
162,The Secret in Their Eyes,2009,163,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.123948236030964,,/title/tt1305806/
163,Howl's Moving Castle,2004,164,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.123335452250375,,/title/tt0347149/
164,The Bridge on the River Kwai,1957,165,"David Lean (dir.), William Holden, Alec Guinness",8.121502206974844,,/title/tt0050212/
165,Trainspotting,1996,166,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.118971800075055,,/title/tt0117951/
166,"Three Billboards Outside Ebbing, Missouri",2017,167,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.117646451935023,,/title/tt5027774/
167,Warrior,2011,168,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.117548385972619,,/title/tt1291584/
168,Gran Torino,2008,169,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.11536128220778,,/title/tt1205489/
169,Fargo,1996,170,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.109934030623844,,/title/tt0116282/
170,My Neighbor Totoro,1988,171,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.104822663078602,,/title/tt0096283/
171,Prisoners,2013,172,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.099661135812093,,/title/tt1392214/
172,Million Dollar Baby,2004,173,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.098087258481504,,/title/tt0405159/
173,Blade Runner,1982,174,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.095112824556976,,/title/tt0083658/
174,The Gold Rush,1925,175,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.094572519329036,,/title/tt0015864/
175,Catch Me If You Can,2002,176,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.094137786106147,,/title/tt0264464/
176,On the Waterfront,1954,177,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.093441685219197,,/title/tt0047296/
177,Children of Heaven,1997,178,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.090650245149842,,/title/tt0118849/
178,Harry Potter and the Deathly Hallows: Part 2,2011,179,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.089573608140512,,/title/tt1201607/
179,The Third Man,1949,180,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.089371939525478,,/title/tt0041959/
180,Gone Girl,2014,181,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.086277229729383,,/title/tt2267998/
181,Ben-Hur,1959,182,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.08556624301361,,/title/tt0052618/
182,12 Years a Slave,2013,183,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.085388837073046,,/title/tt2024544/
183,The General,1926,184,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.084187183444717,,/title/tt0017925/
184,The Deer Hunter,1978,185,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.083685083394712,,/title/tt0077416/
185,Wild Strawberries,1957,186,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.081754167668734,,/title/tt0050986/
186,Before Sunrise,1995,187,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.081112809974464,,/title/tt0112471/
187,In the Name of the Father,1993,188,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.080551660808453,,/title/tt0107207/
188,Pather Panchali,1955,189,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.080234320150714,,/title/tt0048473/
189,Mr Smith Goes to Washington,1939,190,"Frank Capra (dir.), James Stewart, Jean Arthur",8.07836391384312,,/title/tt0031679/
190,The Grand Budapest Hotel,2014,191,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.078000297581237,,/title/tt2278388/
191,Room,2015,192,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.077649479308121,,/title/tt3170832/
192,Sherlock Jr,1924,193,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.075613132852801,,/title/tt0015324/
193,Hacksaw Ridge,2016,194,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.075393410978002,,/title/tt2119532/
194,How to Train Your Dragon,2010,195,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.074717587546452,,/title/tt0892769/
195,The Wages of Fear,1953,196,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.07441980231019,,/title/tt0046268/
196,Memories of Murder,2003,197,"Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung",8.074238243143663,,/title/tt0353969/
197,The Seventh Seal,1957,198,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.073405009320762,,/title/tt0050976/
198,Barry Lyndon,1975,199,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.073045626106275,,/title/tt0072684/
199,The Big Lebowski,1998,200,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.071907197555829,,/title/tt0118715/
200,Klaus,2019,201,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.07174010265073,,/title/tt4729430/
201,Mad Max: Fury Road,2015,202,"George Miller (dir.), Tom Hardy, Charlize Theron",8.071641028851483,,/title/tt1392190/
202,Wild Tales,2014,203,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.070449867409247,,/title/tt3011894/
203,"Monsters, Inc",2001,204,"Pete Docter (dir.), Billy Crystal, John Goodman",8.068093054053161,,/title/tt0198781/
